angulo,timestamp,posicao_correlacao_maxima
90,2026-07-09T10:11:15.726,6
90,2026-07-09T10:11:16.148,7
90,2026-07-09T10:11:16.612,6
90,2026-07-09T10:11:17.003,6
90,2026-07-09T10:11:17.625,7
90,2026-07-09T10:11:18.083,6
90,2026-07-09T10:11:18.526,6
90,2026-07-09T10:11:19.046,7
90,2026-07-09T10:11:19.653,7
90,2026-07-09T10:11:20.090,6
90,2026-07-09T10:11:20.609,7
90,2026-07-09T10:11:21.134,7
90,2026-07-09T10:11:21.722,6
90,2026-07-09T10:11:22.106,7
90,2026-07-09T10:11:22.591,6
90,2026-07-09T10:11:23.064,7
90,2026-07-09T10:11:23.573,6
90,2026-07-09T10:11:24.048,6
90,2026-07-09T10:11:24.613,7
90,2026-07-09T10:11:25.203,7
90,2026-07-09T10:11:25.653,7
90,2026-07-09T10:11:26.145,7
90,2026-07-09T10:11:26.619,7
90,2026-07-09T10:11:27.139,6
90,2026-07-09T10:11:27.613,7
90,2026-07-09T10:11:28.189,7
90,2026-07-09T10:11:28.580,7
90,2026-07-09T10:11:29.049,6
90,2026-07-09T10:11:29.648,7
90,2026-07-09T10:11:30.103,7
90,2026-07-09T10:11:30.844,7
90,2026-07-09T10:11:31.142,7
90,2026-07-09T10:11:31.596,7
90,2026-07-09T10:11:32.045,256
90,2026-07-09T10:11:32.556,0
90,2026-07-09T10:11:33.076,0
90,2026-07-09T10:11:33.585,0
90,2026-07-09T10:11:34.086,0
90,2026-07-09T10:11:34.629,0
90,2026-07-09T10:11:35.230,0
90,2026-07-09T10:11:35.709,0
90,2026-07-09T10:11:36.140,12
90,2026-07-09T10:11:36.659,1
90,2026-07-09T10:11:37.165,1
90,2026-07-09T10:11:37.579,1
90,2026-07-09T10:11:38.184,1
90,2026-07-09T10:11:38.603,1
90,2026-07-09T10:11:39.046,0
90,2026-07-09T10:11:39.611,0
90,2026-07-09T10:11:40.120,1
90,2026-07-09T10:11:40.692,1
90,2026-07-09T10:11:41.236,1
90,2026-07-09T10:11:41.708,1
90,2026-07-09T10:11:42.134,1
90,2026-07-09T10:11:42.672,1
90,2026-07-09T10:11:43.115,1
90,2026-07-09T10:11:43.621,1
90,2026-07-09T10:11:44.052,1
90,2026-07-09T10:11:44.648,1
90,2026-07-09T10:11:45.056,1
90,2026-07-09T10:11:45.877,1
90,2026-07-09T10:11:46.273,0
90,2026-07-09T10:11:46.602,0
90,2026-07-09T10:11:47.099,6
90,2026-07-09T10:11:47.613,6
90,2026-07-09T10:11:48.106,6
90,2026-07-09T10:11:48.611,6
90,2026-07-09T10:11:49.133,6
90,2026-07-09T10:11:49.652,160
90,2026-07-09T10:11:50.146,187
90,2026-07-09T10:11:50.628,188
90,2026-07-09T10:11:51.228,0
90,2026-07-09T10:11:51.606,0
90,2026-07-09T10:11:52.068,0
90,2026-07-09T10:11:52.681,0
90,2026-07-09T10:11:53.161,0
90,2026-07-09T10:11:53.568,7
90,2026-07-09T10:11:54.135,7
90,2026-07-09T10:11:54.523,6
90,2026-07-09T10:11:55.114,6
90,2026-07-09T10:11:55.650,1
90,2026-07-09T10:11:56.117,1
90,2026-07-09T10:11:56.622,1
90,2026-07-09T10:11:57.065,1
90,2026-07-09T10:11:57.687,1
90,2026-07-09T10:11:58.091,1
90,2026-07-09T10:11:58.566,1
90,2026-07-09T10:11:59.099,1
90,2026-07-09T10:11:59.689,0
90,2026-07-09T10:12:00.137,6
90,2026-07-09T10:12:00.720,7
90,2026-07-09T10:12:01.319,7
90,2026-07-09T10:12:01.792,7
90,2026-07-09T10:12:02.124,0
90,2026-07-09T10:12:02.580,0
90,2026-07-09T10:12:03.022,0
90,2026-07-09T10:12:03.591,12
90,2026-07-09T10:12:04.081,1
90,2026-07-09T10:12:04.574,1
90,2026-07-09T10:12:05.089,1
90,2026-07-09T10:12:05.822,0
90,2026-07-09T10:12:06.157,5
90,2026-07-09T10:12:06.543,6
90,2026-07-09T10:12:07.053,177
90,2026-07-09T10:12:07.653,245
90,2026-07-09T10:12:08.196,0
90,2026-07-09T10:12:08.621,0
90,2026-07-09T10:12:09.093,154
90,2026-07-09T10:12:09.535,1
90,2026-07-09T10:12:10.173,1
90,2026-07-09T10:12:10.671,1
90,2026-07-09T10:12:11.153,1
90,2026-07-09T10:12:11.579,1
90,2026-07-09T10:12:12.053,200
90,2026-07-09T10:12:12.641,0
90,2026-07-09T10:12:13.066,0
90,2026-07-09T10:12:13.600,0
90,2026-07-09T10:12:14.130,165
90,2026-07-09T10:12:14.584,1
90,2026-07-09T10:12:15.115,1
90,2026-07-09T10:12:15.613,1
90,2026-07-09T10:12:16.177,1
90,2026-07-09T10:12:16.581,199
90,2026-07-09T10:12:17.071,0
90,2026-07-09T10:12:17.529,0
90,2026-07-09T10:12:18.112,11
90,2026-07-09T10:12:18.619,5
90,2026-07-09T10:12:19.138,5
90,2026-07-09T10:12:19.581,1
90,2026-07-09T10:12:20.087,1
90,2026-07-09T10:12:20.541,1
90,2026-07-09T10:12:21.474,1
90,2026-07-09T10:12:21.752,0
90,2026-07-09T10:12:22.114,0
90,2026-07-09T10:12:22.622,6
90,2026-07-09T10:12:23.079,6
90,2026-07-09T10:12:23.700,1
90,2026-07-09T10:12:24.073,1
90,2026-07-09T10:12:24.596,1
90,2026-07-09T10:12:25.160,1
90,2026-07-09T10:12:25.576,0
90,2026-07-09T10:12:26.127,7
90,2026-07-09T10:12:26.645,6
90,2026-07-09T10:12:26.971,0
90,2026-07-09T10:12:27.710,0
90,2026-07-09T10:12:28.078,1
90,2026-07-09T10:12:28.570,1
90,2026-07-09T10:12:29.089,1
90,2026-07-09T10:12:29.612,0
90,2026-07-09T10:12:30.194,5
90,2026-07-09T10:12:30.728,6
90,2026-07-09T10:12:31.395,0
90,2026-07-09T10:12:31.961,0
90,2026-07-09T10:12:32.304,0
90,2026-07-09T10:12:32.671,1
90,2026-07-09T10:12:33.099,1
90,2026-07-09T10:12:33.576,1
90,2026-07-09T10:12:34.153,1
90,2026-07-09T10:12:34.554,1
90,2026-07-09T10:12:35.205,0
90,2026-07-09T10:12:35.642,0
90,2026-07-09T10:12:36.113,6
90,2026-07-09T10:12:36.681,1
90,2026-07-09T10:12:37.123,1
90,2026-07-09T10:12:37.639,1
90,2026-07-09T10:12:38.135,0
90,2026-07-09T10:12:38.613,7
90,2026-07-09T10:12:39.099,5
90,2026-07-09T10:12:39.605,0
90,2026-07-09T10:12:40.140,1
90,2026-07-09T10:12:40.566,1
90,2026-07-09T10:12:41.100,0
90,2026-07-09T10:12:41.728,7
90,2026-07-09T10:12:42.142,7
90,2026-07-09T10:12:42.636,0
90,2026-07-09T10:12:43.125,1
90,2026-07-09T10:12:43.633,1
135,2026-07-09T10:13:10.857,222
135,2026-07-09T10:13:12.040,0
135,2026-07-09T10:13:12.921,160
135,2026-07-09T10:13:14.163,1
135,2026-07-09T10:13:15.111,1
135,2026-07-09T10:13:15.969,200
135,2026-07-09T10:13:17.287,0
135,2026-07-09T10:13:18.144,0
135,2026-07-09T10:13:19.019,217
135,2026-07-09T10:13:20.352,1
135,2026-07-09T10:13:21.248,1
135,2026-07-09T10:13:22.458,0
135,2026-07-09T10:13:23.331,0
135,2026-07-09T10:13:24.604,7
135,2026-07-09T10:13:25.536,6
135,2026-07-09T10:13:26.757,1
135,2026-07-09T10:13:27.639,188
135,2026-07-09T10:13:28.555,0
135,2026-07-09T10:13:29.799,171
135,2026-07-09T10:13:30.707,6
